method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_reg-all,0.757,0.847,0.353,0.438,0.777,0.747,0.073
adv-voting-fair_reg-group-0,0.767,0.852,0.427,0.444,0.748,0.782,0.522
adv-voting-fair_reg-group-1,0.747,0.859,0.272,0.431,0.826,0.717,0.478
adv-voting-fair_reg-delta,0.021,-0.007,0.155,0.014,-0.078,0.065,0.078
adv-voting-fair_pp-all,0.777,0.847,0.353,0.298,0.607,0.870,0.084
adv-voting-fair_pp-group-0,0.752,0.851,0.427,0.302,0.563,0.892,0.522
adv-voting-fair_pp-group-1,0.805,0.859,0.272,0.294,0.682,0.851,0.478
adv-voting-fair_pp-delta,-0.053,-0.007,0.155,0.008,-0.119,0.041,0.119
adv-voting-fair_adv-all,0.789,0.859,0.353,0.301,0.629,0.877,0.071
adv-voting-fair_adv-group-0,0.764,0.852,0.427,0.366,0.653,0.847,0.522
adv-voting-fair_adv-group-1,0.817,0.858,0.272,0.231,0.587,0.902,0.478
adv-voting-fair_adv-delta,-0.053,-0.005,0.155,0.136,0.066,-0.055,0.066
adv-voting-fair_resample-all,0.785,0.854,0.353,0.300,0.621,0.874,0.086
adv-voting-fair_resample-group-0,0.760,0.851,0.427,0.338,0.614,0.868,0.522
adv-voting-fair_resample-group-1,0.812,0.858,0.272,0.260,0.632,0.880,0.478
adv-voting-fair_resample-delta,-0.052,-0.007,0.155,0.078,-0.018,-0.011,0.018
adv-TERM-all,0.774,0.849,0.353,0.210,0.478,0.936,0.000
adv-TERM-group-0,0.741,0.841,0.427,0.265,0.508,0.915,0.522
adv-TERM-group-1,0.810,0.847,0.272,0.150,0.427,0.953,0.478
adv-TERM-delta,-0.069,-0.007,0.155,0.115,0.081,-0.038,0.081
adv-TERM-fair_pp-all,0.775,0.837,0.353,0.298,0.603,0.868,0.000
adv-TERM-fair_pp-group-0,0.752,0.841,0.427,0.303,0.564,0.891,0.522
adv-TERM-fair_pp-group-1,0.800,0.848,0.272,0.292,0.669,0.849,0.478
adv-TERM-fair_pp-delta,-0.048,-0.007,0.155,0.011,-0.105,0.042,0.105
adv-TERM-fair_resample-all,0.770,0.836,0.353,0.205,0.465,0.936,0.000
adv-TERM-fair_resample-group-0,0.727,0.833,0.427,0.228,0.447,0.935,0.522
adv-TERM-fair_resample-group-1,0.817,0.846,0.272,0.180,0.494,0.937,0.478
adv-TERM-fair_resample-delta,-0.090,-0.013,0.155,0.048,-0.047,-0.002,0.047
adv-DRO-fair_reg-all,0.705,0.794,0.353,0.097,0.219,0.970,0.000
adv-DRO-fair_reg-group-0,0.650,0.803,0.427,0.112,0.221,0.970,0.522
adv-DRO-fair_reg-group-1,0.765,0.793,0.272,0.080,0.216,0.970,0.478
adv-DRO-fair_reg-delta,-0.115,0.010,0.155,0.031,0.005,-0.001,0.005
