method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_pp-all,0.789,0.793,0.236,0.111,0.289,0.944,0.038
adv-voting-fair_pp-group-0,0.755,0.814,0.300,0.108,0.272,0.961,0.671
adv-voting-fair_pp-group-1,0.859,0.791,0.107,0.117,0.387,0.915,0.329
adv-voting-fair_pp-delta,-0.104,0.024,0.193,-0.009,-0.115,0.046,0.115
adv-voting-fair_adv-all,0.804,0.822,0.236,0.132,0.365,0.940,0.018
adv-voting-fair_adv-group-0,0.767,0.813,0.300,0.162,0.381,0.932,0.671
adv-voting-fair_adv-group-1,0.881,0.792,0.107,0.071,0.273,0.954,0.329
adv-voting-fair_adv-delta,-0.114,0.021,0.193,0.091,0.108,-0.021,0.108
adv-voting-fair_resample-all,0.793,0.800,0.236,0.139,0.355,0.929,0.013
adv-voting-fair_resample-group-0,0.761,0.812,0.300,0.147,0.346,0.939,0.671
adv-voting-fair_resample-group-1,0.858,0.795,0.107,0.122,0.407,0.912,0.329
adv-voting-fair_resample-delta,-0.096,0.016,0.193,0.024,-0.061,0.027,0.061
adv-TERM-all,0.764,0.652,0.236,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.700,0.659,0.300,0.000,0.000,1.000,0.671
adv-TERM-group-1,0.893,0.654,0.107,0.000,0.000,1.000,0.329
adv-TERM-delta,-0.193,0.005,0.193,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.766,0.657,0.236,0.038,0.086,0.977,0.000
adv-TERM-fair_pp-group-0,0.710,0.659,0.300,0.043,0.087,0.976,0.671
adv-TERM-fair_pp-group-1,0.881,0.654,0.107,0.028,0.076,0.978,0.329
adv-TERM-fair_pp-delta,-0.171,0.005,0.193,0.015,0.012,-0.001,0.012
adv-TERM-fair_resample-all,0.764,0.629,0.236,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.700,0.629,0.300,0.000,0.000,1.000,0.671
adv-TERM-fair_resample-group-1,0.893,0.626,0.107,0.000,0.000,1.000,0.329
adv-TERM-fair_resample-delta,-0.193,0.003,0.193,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.650,0.680,0.236,0.408,0.622,0.658,0.000
adv-DRO-fair_reg-group-0,0.712,0.736,0.300,0.338,0.585,0.767,0.671
adv-DRO-fair_reg-group-1,0.521,0.740,0.107,0.550,0.831,0.484,0.329
adv-DRO-fair_reg-delta,0.191,-0.004,0.193,-0.211,-0.246,0.283,0.283
