method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_resample-all,0.794,0.801,0.236,0.136,0.351,0.931,0.001
adv-voting-fair_resample-group-0,0.767,0.820,0.299,0.131,0.329,0.954,0.664
adv-voting-fair_resample-group-1,0.848,0.809,0.111,0.146,0.471,0.895,0.336
adv-voting-fair_resample-delta,-0.081,0.011,0.189,-0.015,-0.142,0.059,0.142
adv-TERM-all,0.764,0.594,0.236,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.701,0.668,0.299,0.000,0.000,1.000,0.664
adv-TERM-group-1,0.889,0.662,0.111,0.000,0.000,1.000,0.336
adv-TERM-delta,-0.189,0.006,0.189,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.764,0.630,0.236,0.000,0.000,1.000,0.000
adv-TERM-fair_pp-group-0,0.701,0.668,0.299,0.000,0.001,1.000,0.664
adv-TERM-fair_pp-group-1,0.889,0.662,0.111,0.000,0.000,1.000,0.336
adv-TERM-fair_pp-delta,-0.188,0.006,0.189,0.000,0.001,0.000,0.001
adv-TERM-fair_resample-all,0.764,0.668,0.236,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.701,0.718,0.299,0.000,0.000,1.000,0.664
adv-TERM-fair_resample-group-1,0.889,0.720,0.111,0.000,0.000,1.000,0.336
adv-TERM-fair_resample-delta,-0.189,-0.002,0.189,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.533,0.530,0.236,0.434,0.430,0.565,0.000
adv-DRO-fair_reg-group-0,0.746,0.735,0.299,0.149,0.324,0.926,0.664
adv-DRO-fair_reg-group-1,0.111,0.736,0.111,1.000,1.000,0.000,0.336
adv-DRO-fair_reg-delta,0.635,-0.001,0.189,-0.851,-0.676,0.926,0.926
