method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-TERM-group-1,0.690,0.300,0.310,0.000,0.000,1.000,0.206
adv-TERM-delta,-0.190,0.065,0.190,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.531,0.348,0.461,0.029,0.023,0.965,0.000
adv-TERM-fair_pp-group-0,0.492,0.363,0.500,0.031,0.022,0.961,0.794
adv-TERM-fair_pp-group-1,0.682,0.298,0.310,0.024,0.025,0.977,0.206
adv-TERM-fair_pp-delta,-0.191,0.066,0.190,0.007,-0.003,-0.016,0.016
adv-TERM-fair_resample-all,0.539,0.357,0.461,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.500,0.367,0.500,0.000,0.000,1.000,0.794
adv-TERM-fair_resample-group-1,0.690,0.304,0.310,0.000,0.000,1.000,0.206
adv-TERM-fair_resample-delta,-0.190,0.064,0.190,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.556,0.682,0.461,0.032,0.053,0.986,0.000
adv-DRO-fair_reg-group-0,0.519,0.679,0.500,0.038,0.057,0.982,0.794
adv-DRO-fair_reg-group-1,0.698,0.656,0.310,0.008,0.025,1.000,0.206
adv-DRO-fair_reg-delta,-0.179,0.023,0.190,0.030,0.032,-0.018,0.032
