method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-selected-fair_resample-group-1,0.805,0.851,0.267,0.256,0.614,0.875,0.477
adv-selected-fair_resample-delta,-0.052,-0.003,0.161,0.080,-0.010,-0.010,0.010
adv-voting-all,0.785,0.856,0.351,0.305,0.628,0.870,0.372
adv-voting-group-0,0.764,0.848,0.428,0.411,0.704,0.808,0.523
adv-voting-group-1,0.809,0.849,0.267,0.188,0.494,0.923,0.477
adv-voting-delta,-0.045,-0.001,0.161,0.223,0.210,-0.115,0.210
adv-voting-fair_reg-all,0.749,0.839,0.351,0.441,0.771,0.738,0.387
adv-voting-fair_reg-group-0,0.763,0.848,0.428,0.439,0.737,0.783,0.523
adv-voting-fair_reg-group-1,0.734,0.850,0.267,0.442,0.831,0.699,0.477
adv-voting-fair_reg-delta,0.029,-0.002,0.161,-0.003,-0.094,0.084,0.094
adv-voting-fair_pp-all,0.770,0.838,0.351,0.298,0.596,0.864,0.366
adv-voting-fair_pp-group-0,0.746,0.848,0.428,0.294,0.547,0.895,0.523
adv-voting-fair_pp-group-1,0.796,0.850,0.267,0.301,0.684,0.838,0.477
adv-voting-fair_pp-delta,-0.051,-0.002,0.161,-0.007,-0.137,0.057,0.137
adv-voting-fair_adv-all,0.782,0.854,0.351,0.300,0.618,0.871,0.370
adv-voting-fair_adv-group-0,0.760,0.849,0.428,0.371,0.652,0.840,0.523
adv-voting-fair_adv-group-1,0.807,0.849,0.267,0.223,0.557,0.898,0.477
adv-voting-fair_adv-delta,-0.047,-0.000,0.161,0.148,0.096,-0.058,0.096
adv-voting-fair_resample-all,0.778,0.849,0.351,0.302,0.614,0.867,0.386
adv-voting-fair_resample-group-0,0.755,0.847,0.428,0.344,0.615,0.860,0.523
adv-voting-fair_resample-group-1,0.804,0.849,0.267,0.256,0.612,0.874,0.477
adv-voting-fair_resample-delta,-0.049,-0.002,0.161,0.088,0.004,-0.014,0.014
adv-TERM-all,0.772,0.843,0.351,0.217,0.485,0.928,0.000
adv-TERM-group-0,0.744,0.836,0.428,0.287,0.537,0.899,0.523
adv-TERM-group-1,0.803,0.834,0.267,0.140,0.393,0.952,0.477
adv-TERM-delta,-0.059,0.001,0.161,0.147,0.143,-0.052,0.143
adv-TERM-fair_pp-all,0.768,0.827,0.351,0.286,0.576,0.871,0.000
adv-TERM-fair_pp-group-0,0.744,0.836,0.428,0.287,0.536,0.900,0.523
adv-TERM-fair_pp-group-1,0.793,0.836,0.267,0.285,0.646,0.847,0.477
adv-TERM-fair_pp-delta,-0.049,-0.001,0.161,0.002,-0.110,0.053,0.110
adv-TERM-fair_resample-all,0.763,0.828,0.351,0.204,0.452,0.931,0.000
adv-TERM-fair_resample-group-0,0.722,0.829,0.428,0.222,0.434,0.937,0.523
adv-TERM-fair_resample-group-1,0.808,0.834,0.267,0.183,0.484,0.926,0.477
adv-TERM-fair_resample-delta,-0.086,-0.005,0.161,0.039,-0.050,0.011,0.050
adv-DRO-fair_reg-all,0.694,0.796,0.351,0.070,0.164,0.981,0.000
adv-DRO-fair_reg-group-0,0.634,0.807,0.428,0.086,0.173,0.980,0.523
adv-DRO-fair_reg-group-1,0.760,0.785,0.267,0.053,0.150,0.982,0.477
adv-DRO-fair_reg-delta,-0.126,0.022,0.161,0.032,0.023,-0.002,0.023
