method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_reg-all,0.744,0.832,0.351,0.439,0.760,0.735,0.072
adv-voting-fair_reg-group-0,0.765,0.848,0.428,0.415,0.710,0.806,0.523
adv-voting-fair_reg-group-1,0.721,0.851,0.267,0.464,0.847,0.675,0.477
adv-voting-fair_reg-delta,0.044,-0.002,0.161,-0.049,-0.137,0.131,0.137
adv-voting-fair_pp-all,0.771,0.841,0.351,0.276,0.567,0.881,0.133
adv-voting-fair_pp-group-0,0.742,0.848,0.428,0.284,0.530,0.901,0.523
adv-voting-fair_pp-group-1,0.802,0.848,0.267,0.269,0.632,0.863,0.477
adv-voting-fair_pp-delta,-0.060,-0.000,0.161,0.015,-0.102,0.038,0.102
adv-voting-fair_adv-all,0.778,0.849,0.351,0.307,0.621,0.863,0.123
adv-voting-fair_adv-group-0,0.756,0.849,0.428,0.343,0.616,0.861,0.523
adv-voting-fair_adv-group-1,0.802,0.850,0.267,0.268,0.630,0.864,0.477
adv-voting-fair_adv-delta,-0.046,-0.001,0.161,0.076,-0.014,-0.004,0.014
adv-voting-fair_resample-all,0.771,0.839,0.351,0.308,0.613,0.857,0.111
adv-voting-fair_resample-group-0,0.750,0.846,0.428,0.311,0.572,0.884,0.523
adv-voting-fair_resample-group-1,0.793,0.850,0.267,0.305,0.684,0.833,0.477
adv-voting-fair_resample-delta,-0.043,-0.003,0.161,0.006,-0.113,0.051,0.113
adv-TERM-all,0.754,0.818,0.351,0.181,0.407,0.941,0.000
adv-TERM-group-0,0.703,0.827,0.428,0.178,0.362,0.959,0.523
adv-TERM-group-1,0.808,0.833,0.267,0.184,0.486,0.926,0.477
adv-TERM-delta,-0.105,-0.005,0.161,-0.006,-0.124,0.033,0.124
adv-TERM-fair_pp-all,0.771,0.830,0.351,0.289,0.586,0.872,0.000
adv-TERM-fair_pp-group-0,0.744,0.828,0.428,0.317,0.572,0.873,0.523
adv-TERM-fair_pp-group-1,0.801,0.833,0.267,0.258,0.611,0.870,0.477
adv-TERM-fair_pp-delta,-0.057,-0.005,0.161,0.059,-0.039,0.003,0.039
adv-TERM-fair_resample-all,0.753,0.809,0.351,0.189,0.418,0.934,0.000
adv-TERM-fair_resample-group-0,0.703,0.821,0.428,0.178,0.361,0.958,0.523
adv-TERM-fair_resample-group-1,0.808,0.832,0.267,0.202,0.518,0.913,0.477
adv-TERM-fair_resample-delta,-0.105,-0.011,0.161,-0.024,-0.157,0.045,0.157
adv-DRO-fair_reg-all,0.707,0.793,0.351,0.100,0.224,0.968,0.000
adv-DRO-fair_reg-group-0,0.651,0.807,0.428,0.115,0.226,0.969,0.523
adv-DRO-fair_reg-group-1,0.768,0.787,0.267,0.084,0.221,0.966,0.477
adv-DRO-fair_reg-delta,-0.116,0.020,0.161,0.031,0.006,0.003,0.006
