method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_adv-group-1,0.618,0.649,0.289,0.373,0.485,0.673,0.185
adv-voting-fair_adv-delta,0.009,0.049,0.198,-0.053,-0.039,0.128,0.128
adv-voting-fair_resample-all,0.617,0.671,0.451,0.262,0.366,0.823,0.000
adv-voting-fair_resample-group-0,0.616,0.709,0.488,0.228,0.340,0.878,0.815
adv-voting-fair_resample-group-1,0.623,0.647,0.289,0.412,0.561,0.648,0.185
adv-voting-fair_resample-delta,-0.007,0.062,0.198,-0.184,-0.220,0.230,0.230
adv-TERM-all,0.565,0.584,0.451,0.151,0.185,0.878,0.000
adv-TERM-group-0,0.558,0.660,0.488,0.073,0.122,0.973,0.815
adv-TERM-group-1,0.596,0.653,0.289,0.491,0.652,0.574,0.185
adv-TERM-delta,-0.038,0.007,0.198,-0.418,-0.529,0.399,0.529
adv-TERM-fair_pp-all,0.657,0.699,0.451,0.369,0.530,0.763,0.000
adv-TERM-fair_pp-group-0,0.655,0.703,0.488,0.385,0.542,0.764,0.815
adv-TERM-fair_pp-group-1,0.667,0.651,0.289,0.298,0.439,0.759,0.185
adv-TERM-fair_pp-delta,-0.011,0.052,0.198,0.087,0.102,0.004,0.102
adv-TERM-fair_resample-all,0.584,0.554,0.451,0.181,0.239,0.867,0.000
adv-TERM-fair_resample-group-0,0.574,0.566,0.488,0.125,0.191,0.938,0.815
adv-TERM-fair_resample-group-1,0.627,0.622,0.289,0.425,0.591,0.642,0.185
adv-TERM-fair_resample-delta,-0.053,-0.056,0.198,-0.300,-0.399,0.296,0.399
adv-DRO-fair_reg-all,0.563,0.655,0.451,0.019,0.036,0.996,0.000
adv-DRO-fair_reg-group-0,0.527,0.678,0.488,0.021,0.037,0.994,0.815
adv-DRO-fair_reg-group-1,0.719,0.608,0.289,0.009,0.030,1.000,0.185
adv-DRO-fair_reg-delta,-0.192,0.070,0.198,0.012,0.006,-0.006,0.006
