method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-delta,-0.026,-0.122,0.151,-0.133,-0.188,0.147,0.188
adv-voting-fair_reg-all,0.635,0.700,0.755,0.550,0.623,0.673,0.045
adv-voting-fair_reg-group-0,0.577,0.685,0.808,0.477,0.533,0.760,0.650
adv-voting-fair_reg-group-1,0.743,0.811,0.657,0.686,0.826,0.583,0.350
adv-voting-fair_reg-delta,-0.166,-0.126,0.151,-0.209,-0.293,0.177,0.293
adv-voting-fair_pp-all,0.730,0.693,0.755,0.775,0.834,0.408,0.055
adv-voting-fair_pp-group-0,0.715,0.656,0.808,0.723,0.771,0.480,0.650
adv-voting-fair_pp-group-1,0.757,0.814,0.657,0.871,0.978,0.333,0.350
adv-voting-fair_pp-delta,-0.042,-0.158,0.151,-0.148,-0.207,0.147,0.207
adv-voting-fair_adv-all,0.750,0.737,0.755,0.785,0.854,0.429,0.075
adv-voting-fair_adv-group-0,0.738,0.737,0.808,0.731,0.790,0.520,0.650
adv-voting-fair_adv-group-1,0.771,0.847,0.657,0.886,1.000,0.333,0.350
adv-voting-fair_adv-delta,-0.033,-0.110,0.151,-0.155,-0.210,0.187,0.210
adv-voting-fair_resample-all,0.730,0.621,0.755,0.775,0.834,0.408,0.025
adv-voting-fair_resample-group-0,0.731,0.639,0.808,0.708,0.771,0.560,0.650
adv-voting-fair_resample-group-1,0.729,0.736,0.657,0.900,0.978,0.250,0.350
adv-voting-fair_resample-delta,0.002,-0.098,0.151,-0.192,-0.207,0.310,0.310
adv-TERM-all,0.395,0.487,0.755,0.310,0.305,0.673,0.000
adv-TERM-group-0,0.200,0.505,0.808,0.008,0.010,1.000,0.650
adv-TERM-group-1,0.757,0.649,0.657,0.871,0.978,0.333,0.350
adv-TERM-delta,-0.557,-0.144,0.151,-0.864,-0.969,0.667,0.969
adv-TERM-fair_pp-all,0.390,0.487,0.755,0.305,0.298,0.673,0.000
adv-TERM-fair_pp-group-0,0.200,0.505,0.808,0.008,0.010,1.000,0.650
adv-TERM-fair_pp-group-1,0.743,0.641,0.657,0.857,0.957,0.333,0.350
adv-TERM-fair_pp-delta,-0.543,-0.137,0.151,-0.849,-0.947,0.667,0.947
adv-TERM-fair_resample-all,0.555,0.580,0.755,0.500,0.536,0.612,0.000
adv-TERM-fair_resample-group-0,0.531,0.653,0.808,0.400,0.457,0.840,0.650
adv-TERM-fair_resample-group-1,0.600,0.554,0.657,0.686,0.717,0.375,0.350
adv-TERM-fair_resample-delta,-0.069,0.098,0.151,-0.286,-0.260,0.465,0.465
adv-DRO-fair_reg-all,0.770,0.381,0.755,0.975,0.993,0.082,0.000
adv-DRO-fair_reg-group-0,0.815,0.424,0.808,0.977,0.990,0.080,0.650
adv-DRO-fair_reg-group-1,0.686,0.361,0.657,0.971,1.000,0.083,0.350
adv-DRO-fair_reg-delta,0.130,0.064,0.151,0.005,-0.010,-0.003,0.010
