method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_resample-group-0,0.663,0.718,0.468,0.414,0.581,0.734,0.797
adv-voting-fair_resample-group-1,0.606,0.618,0.367,0.347,0.435,0.704,0.203
adv-voting-fair_resample-delta,0.057,0.100,0.102,0.067,0.147,0.030,0.147
adv-TERM-all,0.659,0.700,0.448,0.256,0.405,0.865,0.000
adv-TERM-group-0,0.660,0.715,0.468,0.305,0.462,0.834,0.797
adv-TERM-group-1,0.657,0.614,0.367,0.064,0.120,0.969,0.203
adv-TERM-delta,0.002,0.102,0.102,0.241,0.342,-0.135,0.342
adv-TERM-fair_pp-all,0.651,0.699,0.448,0.371,0.524,0.754,0.000
adv-TERM-fair_pp-group-0,0.661,0.716,0.468,0.389,0.553,0.755,0.797
adv-TERM-fair_pp-group-1,0.614,0.612,0.367,0.299,0.380,0.748,0.203
adv-TERM-fair_pp-delta,0.047,0.104,0.102,0.090,0.173,0.007,0.173
adv-TERM-fair_resample-all,0.648,0.657,0.448,0.211,0.342,0.896,0.000
adv-TERM-fair_resample-group-0,0.650,0.671,0.468,0.237,0.380,0.889,0.797
adv-TERM-fair_resample-group-1,0.637,0.570,0.367,0.108,0.152,0.918,0.203
adv-TERM-fair_resample-delta,0.013,0.100,0.102,0.129,0.227,-0.029,0.227
adv-DRO-fair_reg-all,0.577,0.675,0.448,0.049,0.083,0.978,0.000
adv-DRO-fair_reg-group-0,0.562,0.680,0.468,0.059,0.095,0.973,0.797
adv-DRO-fair_reg-group-1,0.637,0.630,0.367,0.012,0.022,0.994,0.203
adv-DRO-fair_reg-delta,-0.075,0.050,0.102,0.047,0.074,-0.020,0.074
