method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_resample-group-1,0.850,0.808,0.111,0.131,0.416,0.904,0.336
adv-voting-fair_resample-delta,-0.084,0.012,0.189,-0.004,-0.095,0.052,0.095
adv-TERM-all,0.764,0.577,0.236,0.000,0.000,1.000,0.000
adv-TERM-group-0,0.701,0.585,0.299,0.000,0.000,1.000,0.664
adv-TERM-group-1,0.889,0.576,0.111,0.000,0.000,1.000,0.336
adv-TERM-delta,-0.189,0.009,0.189,0.000,0.000,0.000,0.000
adv-TERM-fair_pp-all,0.764,0.544,0.236,0.000,0.000,1.000,0.000
adv-TERM-fair_pp-group-0,0.701,0.585,0.299,0.000,0.001,1.000,0.664
adv-TERM-fair_pp-group-1,0.889,0.576,0.111,0.000,0.000,1.000,0.336
adv-TERM-fair_pp-delta,-0.188,0.009,0.189,0.000,0.001,0.000,0.001
adv-TERM-fair_resample-all,0.764,0.584,0.236,0.000,0.000,1.000,0.000
adv-TERM-fair_resample-group-0,0.701,0.585,0.299,0.000,0.000,1.000,0.664
adv-TERM-fair_resample-group-1,0.889,0.578,0.111,0.000,0.000,1.000,0.336
adv-TERM-fair_resample-delta,-0.189,0.007,0.189,0.000,0.000,0.000,0.000
adv-DRO-fair_reg-all,0.602,0.598,0.236,0.367,0.435,0.654,0.000
adv-DRO-fair_reg-group-0,0.745,0.743,0.299,0.161,0.342,0.917,0.664
adv-DRO-fair_reg-group-1,0.320,0.748,0.111,0.775,0.931,0.244,0.336
adv-DRO-fair_reg-delta,0.424,-0.005,0.189,-0.614,-0.589,0.672,0.672
