method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-all,0.626,0.688,0.483,0.416,0.544,0.703,0.228
adv-voting-group-0,0.591,0.615,0.538,0.634,0.710,0.453,0.493
adv-voting-group-1,0.660,0.742,0.429,0.204,0.341,0.899,0.507
adv-voting-delta,-0.068,-0.127,0.108,0.430,0.369,-0.446,0.446
adv-voting-fair_reg-all,0.650,0.682,0.483,0.499,0.654,0.646,0.220
adv-voting-fair_reg-group-0,0.613,0.613,0.538,0.516,0.620,0.605,0.493
adv-voting-fair_reg-group-1,0.686,0.744,0.429,0.482,0.695,0.679,0.507
adv-voting-fair_reg-delta,-0.073,-0.130,0.108,0.034,-0.075,-0.074,0.075
adv-voting-fair_pp-all,0.634,0.677,0.483,0.430,0.566,0.697,0.350
adv-voting-fair_pp-group-0,0.597,0.614,0.538,0.446,0.540,0.663,0.493
adv-voting-fair_pp-group-1,0.670,0.735,0.429,0.414,0.598,0.725,0.507
adv-voting-fair_pp-delta,-0.073,-0.121,0.108,0.033,-0.058,-0.062,0.062
adv-voting-fair_adv-all,0.642,0.690,0.483,0.422,0.566,0.713,0.233
adv-voting-fair_adv-group-0,0.591,0.611,0.538,0.484,0.570,0.616,0.493
adv-voting-fair_adv-group-1,0.691,0.745,0.429,0.361,0.561,0.789,0.507
adv-voting-fair_adv-delta,-0.100,-0.134,0.108,0.123,0.009,-0.173,0.173
adv-voting-fair_resample-all,0.626,0.680,0.483,0.374,0.500,0.744,0.305
adv-voting-fair_resample-group-0,0.554,0.602,0.538,0.414,0.470,0.651,0.493
adv-voting-fair_resample-group-1,0.696,0.744,0.429,0.335,0.537,0.817,0.507
adv-voting-fair_resample-delta,-0.143,-0.142,0.108,0.079,-0.067,-0.165,0.165
adv-TERM-all,0.615,0.610,0.483,0.279,0.390,0.826,0.000
adv-TERM-group-0,0.586,0.596,0.538,0.425,0.510,0.674,0.493
adv-TERM-group-1,0.644,0.594,0.429,0.136,0.244,0.945,0.507
adv-TERM-delta,-0.058,0.001,0.108,0.289,0.266,-0.271,0.271
adv-TERM-fair_pp-all,0.615,0.608,0.483,0.279,0.390,0.826,0.000
adv-TERM-fair_pp-group-0,0.586,0.592,0.538,0.425,0.510,0.674,0.493
adv-TERM-fair_pp-group-1,0.644,0.594,0.429,0.136,0.244,0.945,0.507
adv-TERM-fair_pp-delta,-0.058,-0.002,0.108,0.289,0.266,-0.271,0.271
adv-TERM-fair_resample-all,0.602,0.596,0.483,0.207,0.302,0.882,0.000
adv-TERM-fair_resample-group-0,0.575,0.587,0.538,0.285,0.370,0.814,0.493
adv-TERM-fair_resample-group-1,0.628,0.590,0.429,0.131,0.220,0.936,0.507
adv-TERM-fair_resample-delta,-0.053,-0.003,0.108,0.154,0.150,-0.122,0.150
adv-DRO-fair_reg-all,0.552,0.687,0.483,0.072,0.110,0.964,0.000
adv-DRO-fair_reg-group-0,0.484,0.632,0.538,0.043,0.060,0.977,0.493
adv-DRO-fair_reg-group-1,0.618,0.771,0.429,0.099,0.171,0.954,0.507
adv-DRO-fair_reg-delta,-0.134,-0.139,0.108,-0.056,-0.111,0.023,0.111
