method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_resample-all,0.711,0.807,0.349,0.473,0.765,0.683,0.238
adv-voting-fair_resample-group-0,0.708,0.796,0.424,0.542,0.794,0.644,0.519
adv-voting-fair_resample-group-1,0.715,0.806,0.267,0.399,0.714,0.715,0.481
adv-voting-fair_resample-delta,-0.007,-0.010,0.157,0.143,0.081,-0.071,0.081
adv-TERM-all,0.680,0.639,0.349,0.172,0.287,0.890,0.000
adv-TERM-group-0,0.631,0.683,0.424,0.331,0.455,0.761,0.519
adv-TERM-group-1,0.733,0.495,0.267,0.000,0.000,1.000,0.481
adv-TERM-delta,-0.102,0.187,0.157,0.331,0.455,-0.239,0.455
adv-TERM-fair_pp-all,0.544,0.574,0.349,0.579,0.676,0.473,0.000
adv-TERM-fair_pp-group-0,0.643,0.683,0.424,0.485,0.650,0.638,0.519
adv-TERM-fair_pp-group-1,0.437,0.495,0.267,0.681,0.720,0.333,0.481
adv-TERM-fair_pp-delta,0.206,0.187,0.157,-0.196,-0.070,0.304,0.304
adv-TERM-fair_resample-all,0.647,0.601,0.349,0.039,0.049,0.967,0.000
adv-TERM-fair_resample-group-0,0.567,0.610,0.424,0.075,0.078,0.928,0.519
adv-TERM-fair_resample-group-1,0.733,0.417,0.267,0.000,0.000,1.000,0.481
adv-TERM-fair_resample-delta,-0.165,0.193,0.157,0.075,0.078,-0.072,0.078
adv-DRO-fair_reg-all,0.672,0.724,0.349,0.399,0.602,0.709,0.000
adv-DRO-fair_reg-group-0,0.616,0.793,0.424,0.770,0.954,0.366,0.519
adv-DRO-fair_reg-group-1,0.733,0.765,0.267,0.000,0.000,1.000,0.481
adv-DRO-fair_reg-delta,-0.117,0.028,0.157,0.770,0.954,-0.634,0.954
