method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
adv-voting-fair_pp-group-1,0.865,0.809,0.109,0.107,0.369,0.925,0.334
adv-voting-fair_pp-delta,-0.113,0.010,0.201,-0.001,-0.100,0.043,0.100
adv-voting-fair_adv-all,0.804,0.834,0.243,0.143,0.390,0.936,0.409
adv-voting-fair_adv-group-0,0.762,0.819,0.310,0.188,0.419,0.916,0.666
adv-voting-fair_adv-group-1,0.887,0.811,0.109,0.053,0.225,0.968,0.334
adv-voting-fair_adv-delta,-0.125,0.008,0.201,0.135,0.194,-0.052,0.194
adv-voting-fair_resample-all,0.796,0.816,0.243,0.141,0.370,0.933,0.442
adv-voting-fair_resample-group-0,0.760,0.818,0.310,0.162,0.373,0.933,0.666
adv-voting-fair_resample-group-1,0.870,0.811,0.109,0.100,0.358,0.932,0.334
adv-voting-fair_resample-delta,-0.110,0.007,0.201,0.062,0.015,0.001,0.015
adv-TERM-all,0.800,0.775,0.243,0.081,0.256,0.975,0.000
adv-TERM-group-0,0.754,0.752,0.310,0.121,0.297,0.959,0.666
adv-TERM-group-1,0.892,0.693,0.109,0.003,0.020,0.999,0.334
adv-TERM-delta,-0.139,0.060,0.201,0.117,0.278,-0.040,0.278
adv-TERM-fair_pp-all,0.786,0.720,0.243,0.096,0.257,0.956,0.000
adv-TERM-fair_pp-group-0,0.746,0.749,0.310,0.095,0.243,0.971,0.666
adv-TERM-fair_pp-group-1,0.867,0.729,0.109,0.098,0.341,0.932,0.334
adv-TERM-fair_pp-delta,-0.122,0.020,0.201,-0.003,-0.098,0.040,0.098
adv-TERM-fair_resample-all,0.792,0.753,0.243,0.069,0.212,0.977,0.000
adv-TERM-fair_resample-group-0,0.742,0.748,0.310,0.087,0.225,0.974,0.666
adv-TERM-fair_resample-group-1,0.891,0.737,0.109,0.031,0.141,0.982,0.334
adv-TERM-fair_resample-delta,-0.149,0.012,0.201,0.056,0.084,-0.008,0.084
adv-DRO-fair_reg-all,0.780,0.778,0.243,0.043,0.136,0.986,0.000
adv-DRO-fair_reg-group-0,0.724,0.744,0.310,0.065,0.160,0.978,0.666
adv-DRO-fair_reg-group-1,0.891,0.742,0.109,0.000,0.000,1.000,0.334
adv-DRO-fair_reg-delta,-0.167,0.002,0.201,0.065,0.160,-0.022,0.160
